AfumigatusA1163,Aspergillus fumigatus
AfumigatusAf293,Aspergillus fumigatus
AnovofumigatusIBT16806,Aspergillus novofumigatus
RdelemarRA99-880,Rhizopus delemar
Spombe972h,Schizosaccharomyces pombe
Umaydis521,Ustilago maydis
YlipolyticaCLIB122,Yarrowia lipolytica
ZtriticiIPO323,Zymoseptoria tritici
