	AfumigatusA1163.aa	AfumigatusAf293.aa	CneoformansH99.aa	Foxysporum4287.aa	Moryzae70-15.aa	NcrassaOR74A.aa	Spombe972h.aa	Umaydis521.aa	YlipolyticaCLIB122.aa
AfumigatusA1163.aa	8159	8092	4101	6421	5917	5701	3587	4150	4127
AfumigatusAf293.aa	8092	8174	4127	6415	5925	5730	3609	4165	4142
CneoformansH99.aa	4101	4127	4723	4241	4125	4089	3296	4155	3611
Foxysporum4287.aa	6421	6415	4241	7905	6911	6488	3641	4307	4189
Moryzae70-15.aa	5917	5925	4125	6911	7297	6410	3613	4200	4137
NcrassaOR74A.aa	5701	5730	4089	6488	6410	6863	3627	4156	4141
Spombe972h.aa	3587	3609	3296	3641	3613	3627	3826	3265	3409
Umaydis521.aa	4150	4165	4155	4307	4200	4156	3265	4767	3614
YlipolyticaCLIB122.aa	4127	4142	3611	4189	4137	4141	3409	3614	4364
