	AfumigatusA1163.aa	AfumigatusAf293.aa	CneoformansH99.aa	Foxysporum4287.aa	Moryzae70-15.aa	NcrassaOR74A.aa	Spombe972h.aa	Umaydis521.aa	YlipolyticaCLIB122.aa	Total
OG0000118	1	1	0	22	1	1	1	1	1	29
OG0000119	5	4	0	7	6	3	0	4	0	29
OG0000120	3	3	0	19	3	1	0	0	0	29
OG0000121	0	0	13	11	1	1	1	1	1	29
OG0000122	0	0	1	6	3	3	0	0	16	29
OG0000123	3	3	0	10	5	3	3	0	1	28
OG0000124	5	5	1	9	4	3	0	1	0	28
OG0000125	6	7	0	10	3	1	0	1	0	28
OG0000126	4	4	1	0	0	3	6	2	8	28
OG0000127	2	2	0	14	8	2	0	0	0	28
OG0000128	1	1	1	20	2	1	0	1	1	28
OG0000129	1	1	8	5	3	2	0	7	1	28
OG0000130	1	1	1	19	1	1	1	1	2	28
OG0000131	0	0	0	26	1	1	0	0	0	28
OG0000132	5	4	1	10	2	3	0	1	1	27
OG0000133	3	4	1	16	1	0	0	2	0	27
OG0000134	3	3	0	7	10	4	0	0	0	27
OG0000135	2	2	2	11	3	3	1	1	2	27
OG0000136	0	1	0	26	0	0	0	0	0	27
OG0000137	0	0	5	2	13	4	1	1	1	27
OG0000138	3	3	1	10	3	4	0	1	1	26
OG0000139	5	3	1	7	3	4	1	1	1	26
OG0000140	5	4	2	12	1	1	0	1	0	26
OG0000141	4	4	0	9	3	4	0	0	2	26
OG0000142	3	3	2	4	3	3	3	3	2	26
OG0000143	2	2	2	9	1	1	2	0	7	26
OG0000144	2	2	5	8	2	2	1	2	2	26
OG0000145	1	1	0	15	6	3	0	0	0	26
OG0000146	4	3	1	10	4	2	1	1	0	26
OG0000147	3	3	1	10	4	3	0	1	1	26
OG0000148	4	4	1	7	4	3	0	1	2	26
OG0000149	4	3	1	6	2	2	3	3	2	26
OG0000150	2	2	2	6	4	1	0	2	7	26
OG0000151	3	3	6	11	0	1	0	2	0	26
OG0000152	1	1	0	20	1	2	0	0	1	26
OG0000153	1	1	0	21	1	1	1	0	0	26
OG0000154	2	2	1	8	8	3	0	1	1	26
OG0000155	0	0	19	7	0	0	0	0	0	26
OG0000156	0	0	0	26	0	0	0	0	0	26
OG0000157	3	3	4	3	6	3	1	1	1	25
OG0000158	3	3	3	6	1	2	3	2	2	25
OG0000159	3	3	2	2	1	1	1	3	9	25
OG0000160	1	1	2	15	1	2	1	1	1	25
OG0000161	2	2	2	7	2	3	3	2	2	25
OG0000162	3	3	1	6	3	1	1	5	2	25
OG0000163	5	4	3	5	2	2	1	1	2	25
OG0000164	5	5	3	5	2	2	0	1	2	25
OG0000165	5	5	7	3	1	2	0	2	0	25
OG0000166	4	4	1	10	3	1	0	2	0	25
OG0000167	2	2	3	9	2	2	0	5	0	25
OG0000168	1	1	4	11	2	2	3	1	0	25
OG0000169	5	5	1	8	1	2	1	2	0	25
OG0000170	3	3	1	11	3	3	0	1	0	25
OG0000171	1	1	2	14	2	2	0	2	1	25
OG0000172	2	2	1	14	3	2	0	1	0	25
OG0000173	2	2	3	4	2	4	3	3	2	25
OG0000174	2	2	1	7	3	4	3	1	2	25
OG0000175	1	1	2	15	3	3	0	0	0	25
OG0000176	1	2	0	18	2	2	0	0	0	25
OG0000177	0	0	0	16	6	3	0	0	0	25
OG0000178	6	4	0	5	6	3	0	0	0	24
OG0000179	8	8	0	1	2	5	0	0	0	24
OG0000180	3	3	1	9	3	2	1	1	1	24
OG0000181	1	1	0	18	1	2	0	1	0	24
OG0000182	3	4	1	8	4	3	0	1	0	24
OG0000183	3	4	1	7	4	1	0	4	0	24
OG0000184	2	2	3	6	2	3	2	2	2	24
OG0000185	3	3	1	6	3	3	4	1	0	24
OG0000186	1	1	1	12	1	5	1	1	1	24
OG0000187	2	2	1	12	1	1	1	0	4	24
OG0000188	0	0	2	21	1	0	0	0	0	24
OG0000189	2	2	1	9	2	3	1	1	2	23
OG0000190	2	2	2	5	2	3	2	3	2	23
OG0000191	5	5	0	4	2	3	1	2	1	23
OG0000192	5	6	0	5	2	3	0	2	0	23
OG0000193	2	2	2	13	2	2	0	0	0	23
OG0000194	3	3	1	9	1	2	2	1	1	23
OG0000195	2	2	3	6	2	2	1	3	2	23
OG0000196	2	2	0	14	1	1	1	0	2	23
OG0000197	2	2	4	2	2	2	2	4	3	23
OG0000198	2	2	7	5	1	1	2	2	1	23
OG0000199	4	4	0	5	9	0	0	1	0	23
OG0000200	1	1	1	15	1	2	0	1	1	23
OG0000201	2	2	0	9	4	2	0	1	3	23
OG0000202	4	4	3	4	1	1	1	2	3	23
OG0000203	3	3	1	6	1	1	6	1	1	23
OG0000204	2	3	3	4	2	2	2	3	2	23
OG0000205	3	3	1	9	4	1	0	2	0	23
OG0000206	2	1	1	17	0	1	0	1	0	23
OG0000207	2	2	3	15	1	0	0	0	0	23
OG0000208	1	0	1	15	0	0	0	5	1	23
OG0000209	1	1	0	16	1	1	1	1	1	23
OG0000210	1	1	1	12	1	1	1	2	3	23
OG0000211	2	2	0	4	6	4	5	0	0	23
OG0000212	1	2	0	9	10	0	0	0	1	23
OG0000213	1	1	2	10	1	4	1	2	1	23
OG0000214	1	1	2	13	4	1	0	1	0	23
OG0000215	2	2	1	12	4	2	0	0	0	23
OG0000216	2	2	0	6	8	4	0	0	1	23
OG0000217	1	1	0	12	5	4	0	0	0	23
OG0000218	0	0	0	23	0	0	0	0	0	23
OG0000219	0	0	0	10	3	10	0	0	0	23
OG0000220	3	3	0	8	6	2	0	0	0	22
OG0000221	5	5	0	2	9	1	0	0	0	22
OG0000222	2	2	0	13	1	4	0	0	0	22
OG0000223	6	4	1	0	6	2	0	3	0	22
OG0000224	2	2	4	4	2	2	2	2	2	22
OG0000225	3	3	2	4	2	2	2	2	2	22
OG0000226	2	2	0	12	2	1	0	2	1	22
OG0000227	2	2	2	4	4	2	2	2	2	22
OG0000228	4	3	1	10	3	1	0	0	0	22
OG0000229	5	5	4	6	1	1	0	0	0	22
OG0000230	2	2	3	2	2	2	4	3	2	22
OG0000231	1	1	2	12	3	2	0	0	1	22
OG0000232	3	3	3	7	2	1	2	0	1	22
OG0000233	3	3	1	4	3	4	1	1	2	22
OG0000234	3	3	2	3	2	3	1	1	4	22
OG0000235	2	2	2	6	2	2	2	2	2	22
OG0000236	2	2	1	8	2	2	1	1	3	22
OG0000237	1	1	4	5	2	2	3	2	2	22
OG0000238	1	1	0	18	1	1	0	0	0	22
OG0000239	2	2	2	10	2	3	0	1	0	22
OG0000240	1	1	3	7	1	3	1	4	1	22
OG0000241	2	2	1	10	1	1	2	1	2	22
OG0000242	2	2	2	3	2	2	3	3	3	22
OG0000243	3	3	2	4	1	1	5	1	2	22
OG0000244	2	2	1	8	2	3	1	1	2	22
OG0000245	4	3	0	10	1	4	0	0	0	22
OG0000246	1	1	3	10	1	1	1	1	3	22
OG0000247	2	2	3	6	2	1	2	3	1	22
OG0000248	1	1	1	13	1	1	2	1	1	22
OG0000249	1	1	2	16	2	0	0	0	0	22
OG0000250	1	1	1	7	2	5	1	1	3	22
OG0000251	1	1	2	6	3	4	2	1	2	22
OG0000252	2	2	1	10	3	1	1	1	1	22
OG0000253	2	2	2	9	3	1	0	2	0	21
OG0000254	1	1	0	12	1	1	0	0	5	21
OG0000255	3	3	1	4	2	1	1	2	4	21
OG0000256	2	2	1	6	2	2	1	2	3	21
OG0000257	1	1	1	12	1	2	1	1	1	21
OG0000258	4	4	3	4	2	2	1	1	0	21
OG0000259	2	2	2	9	2	2	0	2	0	21
OG0000260	2	2	3	6	1	1	3	2	1	21
OG0000261	3	4	3	6	1	1	1	1	1	21
OG0000262	1	1	3	10	1	2	1	1	1	21
OG0000263	2	2	1	1	1	1	0	1	12	21
OG0000264	2	2	2	3	2	2	4	2	2	21
OG0000265	2	2	2	3	2	4	1	2	3	21
