	AfumigatusA1163.aa	AfumigatusAf293.aa	CneoformansH99.aa	Foxysporum4287.aa	Moryzae70-15.aa	NcrassaOR74A.aa	Spombe972h.aa	Umaydis521.aa	YlipolyticaCLIB122.aa	Total
OG0001398	1	1	0	5	2	2	0	0	0	11
OG0001399	1	1	0	5	2	2	0	0	0	11
OG0001400	1	1	1	2	1	1	2	1	1	11
OG0001401	5	5	0	1	0	0	0	0	0	11
OG0001402	1	1	1	2	1	2	1	1	1	11
OG0001403	1	1	0	3	3	2	0	1	0	11
OG0001404	1	1	0	3	3	3	0	0	0	11
OG0001405	3	3	2	1	1	0	0	1	0	11
OG0001406	2	2	0	2	1	1	0	1	2	11
OG0001407	1	1	2	1	1	2	1	1	1	11
OG0001408	1	1	1	3	1	1	1	1	1	11
OG0001409	1	1	2	5	1	1	0	0	0	11
OG0001410	2	2	1	3	1	1	0	0	1	11
OG0001411	1	1	1	3	1	1	1	1	1	11
OG0001412	1	1	1	3	1	2	1	0	1	11
OG0001413	1	1	0	5	1	1	1	1	0	11
OG0001414	1	1	1	1	1	1	1	1	3	11
OG0001415	1	1	1	2	1	1	2	1	1	11
OG0001416	1	1	1	5	1	1	0	1	0	11
OG0001417	1	1	0	5	1	1	1	0	1	11
OG0001418	1	1	1	3	1	1	1	1	1	11
OG0001419	1	1	1	3	1	2	1	1	0	11
OG0001420	2	2	0	5	1	1	0	0	0	11
OG0001421	1	1	2	2	1	1	1	1	1	11
OG0001422	1	1	1	3	1	1	1	1	1	11
OG0001423	1	1	1	2	1	2	1	1	1	11
OG0001424	2	2	0	3	2	1	0	1	0	11
OG0001425	2	1	2	4	1	1	0	0	0	11
OG0001426	1	1	1	3	1	1	1	1	1	11
OG0001427	1	1	2	2	1	1	1	1	1	11
OG0001428	1	1	2	1	1	1	1	1	2	11
OG0001429	1	1	1	2	1	2	1	1	1	11
OG0001430	1	1	1	3	1	1	1	1	1	11
OG0001431	1	1	1	3	1	1	1	1	1	11
OG0001432	1	1	1	3	1	1	1	1	1	11
OG0001433	1	1	1	3	1	1	1	1	1	11
OG0001434	1	1	1	1	2	2	1	1	1	11
OG0001435	1	1	1	3	1	1	1	1	1	11
OG0001436	2	1	1	1	2	1	1	1	1	11
OG0001437	1	1	1	3	1	1	1	1	1	11
OG0001438	1	1	0	2	1	2	2	1	1	11
OG0001439	1	1	0	5	1	1	1	0	1	11
OG0001440	1	1	1	4	1	1	1	1	0	11
OG0001441	1	1	1	3	1	1	1	1	1	11
OG0001442	1	1	1	4	1	1	0	0	2	11
OG0001443	1	1	1	1	1	2	1	1	2	11
OG0001444	1	1	1	3	1	1	1	1	1	11
OG0001445	1	1	0	4	1	2	0	1	1	11
OG0001446	1	1	1	3	1	1	1	1	1	11
OG0001447	1	1	1	2	1	1	2	1	1	11
OG0001448	1	1	1	3	1	1	1	1	1	11
OG0001449	1	1	2	2	1	1	1	1	1	11
OG0001450	1	1	2	1	1	2	1	1	1	11
OG0001451	1	1	1	3	1	1	1	1	1	11
OG0001452	1	1	1	3	1	1	1	1	1	11
OG0001453	1	1	1	2	2	1	1	1	1	11
OG0001454	1	1	1	1	1	1	3	1	1	11
OG0001455	1	1	1	3	1	1	1	1	1	11
OG0001456	1	1	1	2	1	1	2	1	1	11
OG0001457	1	1	1	1	1	1	2	2	1	11
OG0001458	1	1	1	2	1	2	1	1	1	11
OG0001459	1	1	1	2	1	2	1	1	1	11
OG0001460	1	1	1	3	1	1	1	1	1	11
OG0001461	1	1	0	6	2	1	0	0	0	11
OG0001462	1	1	1	3	1	1	1	1	1	11
OG0001463	1	1	1	2	1	2	1	1	1	11
OG0001464	1	1	2	2	1	1	1	1	1	11
OG0001465	1	1	1	3	1	1	1	1	1	11
OG0001466	1	1	1	3	1	1	1	1	1	11
OG0001467	1	1	0	3	1	2	0	2	1	11
OG0001468	2	2	1	2	1	1	0	1	1	11
OG0001469	1	1	2	2	1	1	1	1	1	11
OG0001470	1	1	1	2	2	2	1	1	0	11
OG0001471	1	1	0	7	0	2	0	0	0	11
OG0001472	2	2	1	2	2	1	1	0	0	11
OG0001473	2	1	1	1	1	1	1	1	2	11
OG0001474	2	2	0	3	1	2	0	1	0	11
OG0001475	1	1	1	3	1	1	0	1	2	11
OG0001476	1	1	1	3	1	1	1	1	1	11
OG0001477	1	1	0	7	1	1	0	0	0	11
OG0001478	1	1	2	1	1	1	2	1	1	11
OG0001479	1	1	0	7	1	1	0	0	0	11
OG0001480	1	1	1	1	1	2	1	2	1	11
OG0001481	1	1	1	3	1	1	1	1	1	11
OG0001482	1	1	1	1	1	2	1	1	2	11
OG0001483	1	1	1	2	1	1	2	1	1	11
OG0001484	1	1	1	1	1	1	1	3	1	11
OG0001485	1	1	2	1	1	1	1	1	2	11
OG0001486	1	1	1	3	1	1	1	1	1	11
OG0001487	1	1	1	3	1	1	1	1	1	11
OG0001488	1	1	1	2	1	1	2	1	1	11
OG0001489	2	2	0	3	2	1	0	1	0	11
OG0001490	1	1	0	8	1	0	0	0	0	11
OG0001491	1	1	1	3	1	1	1	1	1	11
OG0001492	1	1	1	3	1	1	1	1	1	11
OG0001493	1	1	0	6	1	2	0	0	0	11
OG0001494	1	1	1	3	1	1	1	1	1	11
OG0001495	1	1	1	2	1	1	2	1	1	11
OG0001496	1	1	2	2	1	1	1	1	1	11
OG0001497	1	1	2	1	1	2	2	1	0	11
OG0001498	2	2	1	4	2	0	0	0	0	11
OG0001499	1	1	1	2	1	2	1	1	1	11
OG0001500	1	1	3	1	1	1	0	1	2	11
OG0001501	1	1	1	2	1	2	1	1	1	11
OG0001502	1	1	0	8	1	0	0	0	0	11
OG0001503	1	1	1	2	2	3	0	1	0	11
OG0001504	2	1	0	4	1	3	0	0	0	11
OG0001505	1	1	1	3	1	1	1	1	1	11
OG0001506	1	1	1	2	1	2	1	1	1	11
OG0001507	1	1	1	2	1	2	1	1	1	11
OG0001508	1	1	1	1	1	1	3	1	1	11
OG0001509	1	1	1	3	1	1	1	1	1	11
OG0001510	1	1	2	2	1	1	1	1	1	11
OG0001511	1	1	1	3	1	1	1	1	1	11
OG0001512	1	1	1	3	1	1	1	1	1	11
OG0001513	1	1	2	2	1	1	1	1	1	11
OG0001514	1	1	1	3	1	1	1	1	1	11
OG0001515	1	1	1	3	1	1	1	1	1	11
OG0001516	1	1	1	1	1	1	2	1	2	11
OG0001517	1	1	1	1	1	1	3	1	1	11
OG0001518	1	1	1	2	1	2	1	1	1	11
OG0001519	1	1	1	1	2	1	1	2	1	11
OG0001520	1	1	2	2	1	1	1	1	1	11
OG0001521	1	1	2	1	1	2	1	1	1	11
OG0001522	1	1	1	3	1	1	1	1	1	11
OG0001523	2	1	1	2	1	1	1	1	1	11
OG0001524	4	4	0	0	1	1	0	1	0	11
OG0001525	1	1	1	1	1	1	1	2	2	11
OG0001526	1	1	1	2	1	1	2	1	1	11
OG0001527	1	1	1	1	1	1	3	1	1	11
OG0001528	1	1	1	1	1	2	2	1	1	11
OG0001529	1	1	2	1	1	1	2	1	1	11
OG0001530	1	1	1	2	1	2	1	1	1	11
OG0001531	1	1	2	1	1	1	2	1	1	11
OG0001532	1	1	1	3	1	1	1	1	1	11
OG0001533	1	1	1	1	1	3	1	1	1	11
OG0001534	1	1	2	2	1	1	1	1	1	11
OG0001535	1	1	1	1	1	3	1	1	1	11
OG0001536	1	1	1	1	1	3	1	1	1	11
OG0001537	1	1	1	3	1	2	1	1	0	11
OG0001538	1	1	2	1	1	1	2	1	1	11
OG0001539	1	1	0	3	2	1	0	0	3	11
OG0001540	3	2	0	2	1	3	0	0	0	11
OG0001541	9	2	0	0	0	0	0	0	0	11
OG0001542	2	2	0	4	3	0	0	0	0	11
OG0001543	3	4	0	3	0	1	0	0	0	11
OG0001544	2	2	2	1	2	2	0	0	0	11
OG0001545	2	2	0	6	1	0	0	0	0	11
OG0001546	2	2	1	1	1	1	1	1	1	11
OG0001547	1	1	0	3	4	2	0	0	0	11
OG0001548	2	2	6	1	0	0	0	0	0	11
OG0001549	2	1	0	6	1	0	0	0	1	11
OG0001550	2	2	1	2	1	1	0	1	1	11
OG0001551	5	4	0	2	0	0	0	0	0	11
OG0001552	1	1	2	2	1	1	1	1	1	11
OG0001553	1	1	1	4	1	1	0	1	1	11
OG0001554	1	1	1	2	1	2	1	1	1	11
OG0001555	1	1	1	2	1	1	1	1	2	11
OG0001556	1	1	1	2	1	1	1	1	2	11
OG0001557	1	1	1	1	2	1	2	1	1	11
OG0001558	1	1	1	2	1	1	2	1	1	11
OG0001559	2	2	1	1	2	2	0	0	1	11
OG0001560	1	1	2	2	1	1	1	1	1	11
OG0001561	1	1	1	2	1	1	2	1	1	11
OG0001562	1	1	1	2	1	1	2	1	1	11
OG0001563	1	1	1	4	1	1	0	1	1	11
OG0001564	1	1	1	1	1	1	3	1	1	11
OG0001565	1	1	1	2	1	2	1	1	1	11
OG0001566	1	1	3	1	1	1	1	1	1	11
OG0001567	1	1	3	1	1	1	1	1	1	11
OG0001568	1	1	1	3	1	1	1	1	1	11
OG0001569	1	1	1	3	1	1	1	1	1	11
OG0001570	1	1	1	2	1	1	2	1	1	11
OG0001571	1	1	2	2	1	1	1	1	1	11
OG0001572	1	1	1	2	1	2	1	1	1	11
OG0001573	1	1	1	2	1	2	1	1	1	11
OG0001574	1	1	1	2	1	2	1	1	1	11
OG0001575	1	1	1	1	1	3	1	1	1	11
OG0001576	1	1	1	1	1	1	2	1	2	11
OG0001577	1	1	2	4	1	1	0	1	0	11
OG0001578	1	1	1	3	1	1	1	1	1	11
OG0001579	4	4	0	2	1	0	0	0	0	11
OG0001580	1	1	0	2	3	1	2	1	0	11
OG0001581	1	1	3	1	1	1	0	2	1	11
OG0001582	1	1	1	3	1	1	1	1	1	11
OG0001583	1	1	1	2	1	2	1	1	1	11
OG0001584	1	1	2	2	1	1	1	1	1	11
OG0001585	1	1	1	2	1	2	1	1	1	11
OG0001586	1	1	2	2	1	1	1	1	1	11
OG0001587	1	1	1	2	1	2	1	1	1	11
OG0001588	1	1	1	3	1	1	0	1	2	11
OG0001589	1	1	1	1	1	1	2	1	2	11
OG0001590	1	1	1	1	1	2	2	1	1	11
OG0001591	1	1	1	2	1	2	1	1	1	11
OG0001592	1	1	1	3	1	1	1	1	1	11
OG0001593	1	1	1	1	1	2	2	1	1	11
OG0001594	1	1	1	4	1	2	0	0	1	11
OG0001595	1	1	0	4	2	2	0	0	1	11
OG0001596	1	1	1	2	1	2	0	2	1	11
OG0001597	1	1	1	1	1	2	1	2	1	11
OG0001598	1	1	1	4	1	1	0	1	1	11
OG0001599	1	1	1	1	1	1	2	1	2	11
OG0001600	1	1	1	1	1	2	1	1	2	11
OG0001601	1	1	1	4	4	0	0	0	0	11
OG0001602	1	1	1	2	1	1	2	1	1	11
OG0001603	1	1	1	3	1	1	1	1	1	11
OG0001604	1	1	1	1	1	1	1	1	3	11
OG0001605	1	1	1	2	1	2	1	1	1	11
OG0001606	1	1	1	2	1	2	1	1	1	11
OG0001607	1	1	1	2	1	2	1	1	1	11
OG0001608	3	3	1	2	1	1	0	0	0	11
OG0001609	1	1	1	2	1	1	1	1	2	11
OG0001610	1	1	2	1	1	1	2	1	1	11
OG0001611	1	1	1	4	1	1	0	1	1	11
OG0001612	1	1	1	1	1	2	1	2	1	11
OG0001613	2	1	1	2	1	1	1	1	1	11
OG0001614	1	1	2	2	1	1	1	1	1	11
OG0001615	1	1	2	1	1	2	1	1	1	11
OG0001616	1	1	1	3	1	1	1	1	1	11
OG0001617	1	1	1	3	1	1	1	1	1	11
OG0001618	1	1	0	7	1	1	0	0	0	11
OG0001619	2	2	1	2	1	1	1	0	1	11
OG0001620	1	1	1	4	1	1	0	1	1	11
OG0001621	1	1	0	6	1	1	0	0	1	11
OG0001622	1	1	1	3	1	1	1	1	1	11
OG0001623	1	1	1	3	1	1	1	1	1	11
OG0001624	2	2	1	1	1	1	1	1	1	11
OG0001625	1	1	1	3	1	1	1	1	1	11
OG0001626	1	1	1	3	1	1	1	1	1	11
OG0001627	1	1	1	3	1	1	1	1	1	11
OG0001628	1	1	1	1	1	1	2	1	2	11
OG0001629	1	1	1	2	1	2	1	1	1	11
OG0001630	1	1	1	3	1	1	1	1	1	11
OG0001631	1	1	1	3	1	1	1	1	1	11
OG0001632	1	1	1	2	1	2	1	1	1	11
OG0001633	1	1	2	2	1	1	1	1	1	11
OG0001634	1	1	1	3	1	2	0	1	1	11
OG0001635	1	1	2	1	1	1	2	1	1	11
OG0001636	1	1	0	4	1	1	1	1	1	11
OG0001637	1	1	1	3	1	1	1	1	1	11
OG0001638	1	1	1	2	1	2	1	1	1	11
OG0001639	1	1	1	4	2	1	0	1	0	11
OG0001640	1	1	1	4	1	1	0	1	1	11
OG0001641	1	1	0	4	3	2	0	0	0	11
OG0001642	1	1	2	2	2	2	0	0	1	11
OG0001643	1	1	1	1	5	1	0	1	0	11
OG0001644	1	1	3	1	1	1	1	1	1	11
OG0001645	1	1	0	4	2	1	1	0	1	11
OG0001646	1	2	1	2	2	2	1	0	0	11
OG0001647	2	2	0	5	1	0	0	1	0	11
OG0001648	1	1	1	3	1	1	1	1	1	11
OG0001649	1	1	2	1	1	1	1	2	1	11
OG0001650	1	1	1	2	1	1	1	2	1	11
OG0001651	1	1	1	2	2	1	1	1	1	11
OG0001652	1	1	2	2	1	1	1	1	1	11
OG0001653	1	1	1	1	1	3	1	1	1	11
OG0001654	1	1	1	1	1	2	2	1	1	11
OG0001655	1	1	0	4	1	1	1	1	1	11
OG0001656	1	1	1	3	1	1	1	1	1	11
OG0001657	1	1	1	3	1	3	0	1	0	11
OG0001658	1	1	2	1	1	2	1	1	1	11
OG0001659	1	1	1	2	0	2	1	1	2	11
OG0001660	1	1	3	1	1	1	1	2	0	11
OG0001661	1	1	2	2	1	1	1	1	1	11
OG0001662	1	1	1	3	1	1	1	1	1	11
OG0001663	1	1	3	1	1	1	1	1	1	11
OG0001664	1	1	1	3	1	1	1	1	1	11
OG0001665	1	2	1	3	0	1	1	1	1	11
OG0001666	1	1	1	3	1	1	1	1	1	11
OG0001667	2	2	0	2	2	1	0	1	1	11
OG0001668	1	1	1	3	1	1	1	1	1	11
OG0001669	1	1	1	2	1	2	1	1	1	11
OG0001670	1	1	1	1	1	2	0	1	3	11
OG0001671	1	1	1	3	1	1	1	1	1	11
OG0001672	1	1	1	1	1	3	1	1	1	11
OG0001673	1	1	1	2	1	2	1	1	1	11
OG0001674	1	1	1	1	1	3	1	1	1	11
OG0001675	1	1	2	1	1	1	1	2	1	11
OG0001676	1	1	1	1	1	3	1	1	1	11
OG0001677	1	1	0	7	1	0	0	1	0	11
OG0001678	1	1	1	1	1	1	2	1	2	11
OG0001679	1	1	1	5	1	1	0	0	1	11
OG0001680	1	1	1	2	1	2	1	1	1	11
OG0001681	1	1	2	1	1	1	1	1	2	11
OG0001682	1	1	2	1	1	1	1	2	1	11
OG0001683	1	1	1	3	2	0	0	3	0	11
OG0001684	1	1	1	3	1	1	1	1	1	11
OG0001685	1	1	2	2	1	1	1	1	1	11
OG0001686	1	1	1	2	1	2	1	1	1	11
OG0001687	1	1	1	3	1	1	1	1	1	11
OG0001688	2	2	1	4	1	1	0	0	0	11
OG0001689	1	1	2	2	1	1	1	1	1	11
OG0001690	2	2	1	3	1	1	0	1	0	11
OG0001691	1	1	1	3	1	1	1	1	1	11
OG0001692	1	1	1	3	1	1	1	1	1	11
OG0001693	1	1	1	3	1	1	1	1	1	11
OG0001694	1	1	1	3	1	1	1	1	1	11
OG0001695	1	1	1	2	2	1	1	1	1	11
OG0001696	1	1	0	4	1	1	1	1	1	11
OG0001697	2	2	3	3	1	0	0	0	0	11
OG0001698	2	1	0	5	2	1	0	0	0	11
OG0001699	1	1	0	6	1	1	0	0	1	11
OG0001700	1	1	1	3	1	1	1	1	1	11
OG0001701	1	1	1	3	1	1	1	1	1	11
OG0001702	1	1	1	1	1	1	3	1	1	11
OG0001703	3	3	1	2	1	1	0	0	0	11
OG0001704	1	1	2	1	1	2	1	1	1	11
OG0001705	1	1	1	3	1	1	1	1	1	11
OG0001706	1	1	1	1	1	1	2	2	1	11
OG0001707	1	2	1	2	1	1	1	1	1	11
OG0001708	1	1	1	3	1	1	1	1	1	11
OG0001709	1	1	0	9	0	0	0	0	0	11
OG0001710	2	2	1	3	1	1	0	1	0	11
OG0001711	2	2	1	1	1	1	1	1	1	11
OG0001712	1	1	1	3	1	2	0	1	1	11
OG0001713	1	2	0	1	5	1	0	1	0	11
OG0001714	1	1	2	3	1	1	0	0	2	11
OG0001715	1	1	0	2	3	2	0	2	0	11
OG0001716	1	1	1	2	1	2	1	1	1	11
OG0001717	1	1	0	4	1	1	1	1	1	11
OG0001718	1	1	3	1	1	2	0	1	1	11
OG0001719	1	1	2	1	1	1	3	0	1	11
OG0001720	1	1	2	1	1	1	2	1	1	11
OG0001721	1	1	1	4	1	1	0	1	1	11
OG0001722	1	1	1	1	1	1	2	1	2	11
OG0001723	1	1	2	2	1	1	1	1	1	11
OG0001724	1	1	1	6	1	1	0	0	0	11
OG0001725	1	1	1	2	1	3	0	1	1	11
OG0001726	1	1	1	3	1	1	1	1	1	11
OG0001727	1	1	0	4	1	1	0	3	0	11
OG0001728	1	1	0	5	1	1	1	0	1	11
OG0001729	1	1	3	2	1	1	0	1	1	11
OG0001730	1	1	1	1	1	1	2	1	2	11
OG0001731	1	1	1	3	1	1	1	1	1	11
OG0001732	1	1	1	3	1	1	1	1	1	11
OG0001733	1	1	1	3	1	1	1	1	1	11
OG0001734	2	2	0	2	2	1	1	1	0	11
OG0001735	1	1	1	1	1	3	1	1	1	11
OG0001736	1	1	1	1	1	3	1	1	1	11
OG0001737	1	1	1	2	1	2	1	1	1	11
OG0001738	1	1	1	3	1	1	1	1	1	11
OG0001739	1	1	1	2	1	2	1	1	1	11
OG0001740	1	1	1	2	1	2	1	1	1	11
OG0001741	1	1	1	5	1	1	0	0	1	11
OG0001742	1	1	0	7	1	1	0	0	0	11
OG0001743	1	1	1	2	1	1	1	1	2	11
OG0001744	1	1	1	2	1	1	1	1	2	11
OG0001745	1	1	0	2	2	2	1	1	1	11
OG0001746	1	1	2	1	1	2	1	1	1	11
OG0001747	1	1	2	2	1	1	1	1	1	11
OG0001748	1	1	1	2	2	1	1	1	1	11
OG0001749	1	1	1	3	1	1	1	1	1	11
OG0001750	1	1	3	2	1	1	1	1	0	11
OG0001751	1	1	1	1	2	1	1	1	2	11
OG0001752	1	1	1	2	1	1	1	2	1	11
OG0001753	1	1	1	3	1	2	0	1	1	11
OG0001754	1	1	1	1	1	3	1	1	1	11
OG0001755	1	1	1	3	1	1	1	1	1	11
OG0001756	1	1	1	3	1	1	1	1	1	11
OG0001757	1	1	1	3	1	1	1	1	1	11
OG0001758	1	1	1	3	1	1	1	1	1	11
OG0001759	1	1	0	5	2	1	0	1	0	11
OG0001760	1	1	0	6	0	1	0	1	1	11
OG0001761	1	1	1	2	2	4	0	0	0	11
OG0001762	1	1	1	2	1	1	1	1	2	11
OG0001763	1	1	2	1	1	2	1	1	1	11
OG0001764	1	1	0	5	2	1	0	1	0	11
OG0001765	1	1	0	5	2	1	0	1	0	11
OG0001766	0	1	0	10	0	0	0	0	0	11
OG0001767	0	1	1	3	1	2	1	1	1	11
OG0001768	0	1	1	3	1	2	1	1	1	11
OG0001769	0	0	4	1	2	1	0	3	0	11
OG0001770	0	0	1	8	1	1	0	0	0	11
OG0001771	0	0	1	10	0	0	0	0	0	11
OG0001772	0	0	1	2	4	1	1	1	1	11
OG0001773	0	0	3	2	1	1	1	2	1	11
OG0001774	0	0	2	2	4	2	0	1	0	11
OG0001775	0	0	0	9	1	1	0	0	0	11
OG0001776	0	0	0	8	1	2	0	0	0	11
OG0001777	0	0	0	10	0	1	0	0	0	11
OG0001778	0	0	0	9	2	0	0	0	0	11
OG0001779	0	0	0	7	2	2	0	0	0	11
OG0001780	0	0	0	9	2	0	0	0	0	11
OG0001781	0	0	0	5	3	0	1	1	1	11
OG0001782	0	0	0	8	1	2	0	0	0	11
OG0001783	0	0	0	8	1	1	0	1	0	11
OG0001784	1	1	1	4	1	1	0	1	0	10
OG0001785	1	1	1	2	1	1	1	1	1	10
OG0001786	1	1	1	2	1	1	1	1	1	10
OG0001787	1	1	1	2	1	1	1	1	1	10
OG0001788	2	2	1	3	2	0	0	0	0	10
OG0001789	2	2	2	1	0	1	0	2	0	10
OG0001790	3	3	0	2	0	2	0	0	0	10
OG0001791	1	1	0	5	0	1	0	1	1	10
OG0001792	1	1	0	2	1	3	1	0	1	10
OG0001793	1	1	0	2	4	2	0	0	0	10
OG0001794	1	1	1	1	1	1	2	1	1	10
OG0001795	1	1	1	2	1	1	1	1	1	10
OG0001796	1	1	1	2	1	1	1	1	1	10
OG0001797	1	1	1	2	1	1	1	1	1	10
OG0001798	1	1	1	2	1	2	0	1	1	10
OG0001799	1	1	1	2	1	1	1	1	1	10
OG0001800	1	1	1	2	1	1	1	1	1	10
OG0001801	1	1	2	1	1	1	1	1	1	10
OG0001802	1	1	1	2	1	1	1	1	1	10
OG0001803	1	1	1	2	1	2	0	1	1	10
OG0001804	1	1	1	1	1	1	2	1	1	10
OG0001805	1	1	1	1	1	2	1	1	1	10
OG0001806	1	1	1	1	1	2	1	1	1	10
OG0001807	1	1	2	1	1	1	1	1	1	10
OG0001808	1	1	2	1	1	1	0	1	2	10
OG0001809	1	1	1	1	1	1	2	1	1	10
OG0001810	1	1	1	2	1	1	1	1	1	10
OG0001811	1	1	1	1	1	1	2	1	1	10
OG0001812	1	1	1	2	1	1	1	1	1	10
OG0001813	1	1	2	1	2	1	0	1	1	10
OG0001814	2	2	0	3	1	1	0	1	0	10
OG0001815	2	2	1	2	1	1	0	0	1	10
OG0001816	2	2	0	2	1	2	0	0	1	10
OG0001817	1	1	1	2	1	1	1	1	1	10
OG0001818	1	1	1	1	1	1	1	1	2	10
OG0001819	1	1	1	1	1	1	1	1	2	10
OG0001820	1	1	1	1	1	1	2	1	1	10
OG0001821	1	1	1	2	1	1	1	1	1	10
OG0001822	1	1	1	2	1	1	1	1	1	10
OG0001823	1	1	1	1	1	2	1	1	1	10
OG0001824	1	1	1	1	1	1	2	1	1	10
OG0001825	1	1	1	1	1	1	1	1	2	10
OG0001826	1	1	1	2	1	1	1	1	1	10
OG0001827	1	1	1	2	1	1	1	1	1	10
OG0001828	1	1	1	2	1	1	1	1	1	10
OG0001829	1	1	1	2	1	1	1	1	1	10
OG0001830	1	1	1	2	1	1	1	1	1	10
OG0001831	1	1	1	2	1	1	1	1	1	10
OG0001832	1	1	1	2	1	1	1	1	1	10
OG0001833	1	1	1	2	1	1	1	1	1	10
OG0001834	1	1	1	1	1	1	2	1	1	10
OG0001835	1	1	1	1	1	1	2	1	1	10
OG0001836	2	2	0	3	1	1	0	0	1	10
OG0001837	1	1	1	1	1	2	1	1	1	10
OG0001838	1	1	1	2	1	1	1	1	1	10
OG0001839	1	1	1	1	1	1	2	1	1	10
OG0001840	1	1	0	4	1	1	0	1	1	10
OG0001841	1	1	1	1	1	1	2	1	1	10
OG0001842	1	1	1	1	1	1	2	1	1	10
OG0001843	1	1	1	2	1	1	1	1	1	10
OG0001844	1	1	1	2	1	1	1	1	1	10
OG0001845	1	1	1	1	1	1	2	1	1	10
OG0001846	1	1	1	2	1	1	1	1	1	10
OG0001847	1	1	5	1	1	1	0	0	0	10
OG0001848	1	1	0	7	1	0	0	0	0	10
OG0001849	1	1	1	1	1	1	1	1	2	10
OG0001850	1	1	1	1	1	1	1	1	2	10
OG0001851	2	1	0	1	1	1	1	1	2	10
OG0001852	1	1	1	1	1	1	2	1	1	10
OG0001853	1	1	1	2	1	1	1	1	1	10
OG0001854	1	1	1	1	2	1	1	1	1	10
OG0001855	1	1	1	2	1	1	1	1	1	10
OG0001856	1	1	1	2	1	1	1	1	1	10
OG0001857	1	1	0	2	1	2	0	1	2	10
OG0001858	1	1	0	2	1	2	2	0	1	10
OG0001859	1	1	1	1	1	1	1	2	1	10
OG0001860	1	1	1	2	1	1	1	1	1	10
OG0001861	1	1	1	2	1	1	1	1	1	10
OG0001862	1	1	2	1	1	1	1	1	1	10
OG0001863	1	1	1	2	1	1	1	1	1	10
OG0001864	1	1	2	1	1	1	1	1	1	10
OG0001865	1	1	1	2	1	1	1	1	1	10
OG0001866	1	1	0	4	1	1	1	0	1	10
OG0001867	1	1	1	1	1	1	2	1	1	10
OG0001868	1	1	2	1	1	1	1	1	1	10
OG0001869	1	1	1	2	1	1	1	1	1	10
OG0001870	1	1	1	2	1	1	1	1	1	10
OG0001871	1	1	1	2	1	1	1	1	1	10
OG0001872	1	1	1	1	1	2	1	1	1	10
OG0001873	1	1	2	1	1	1	1	1	1	10
OG0001874	1	1	1	1	1	1	2	1	1	10
OG0001875	1	1	1	2	1	1	1	1	1	10
OG0001876	1	1	1	1	1	2	1	1	1	10
OG0001877	1	1	1	1	2	1	1	1	1	10
OG0001878	1	1	1	3	1	1	1	1	0	10
OG0001879	1	1	1	2	1	1	1	1	1	10
OG0001880	1	1	1	2	1	1	1	1	1	10
OG0001881	1	1	1	1	1	2	1	1	1	10
OG0001882	4	4	0	1	1	0	0	0	0	10
OG0001883	1	1	1	1	1	2	1	1	1	10
OG0001884	1	1	1	2	1	1	1	1	1	10
OG0001885	1	1	1	2	1	1	1	1	1	10
OG0001886	1	1	2	1	1	1	1	1	1	10
OG0001887	1	1	1	2	1	1	1	1	1	10
OG0001888	1	1	1	2	1	1	1	1	1	10
OG0001889	1	1	0	3	1	1	1	1	1	10
OG0001890	1	1	2	2	1	1	0	1	1	10
OG0001891	1	1	2	1	1	1	1	1	1	10
OG0001892	1	1	1	2	1	1	1	1	1	10
OG0001893	3	3	0	1	1	1	0	1	0	10
OG0001894	1	1	1	2	1	1	1	1	1	10
OG0001895	1	1	1	2	1	1	1	1	1	10
OG0001896	1	1	1	2	1	1	1	1	1	10
OG0001897	1	1	1	1	1	2	2	0	1	10
OG0001898	1	1	2	4	1	1	0	0	0	10
OG0001899	2	2	0	3	1	1	0	1	0	10
OG0001900	1	2	0	4	1	1	0	1	0	10
OG0001901	1	1	1	1	1	2	1	1	1	10
OG0001902	1	1	0	7	0	1	0	0	0	10
OG0001903	1	1	1	1	1	1	0	2	2	10
OG0001904	1	1	1	4	1	1	0	1	0	10
OG0001905	3	3	0	3	0	0	1	0	0	10
OG0001906	1	1	1	2	1	1	1	1	1	10
OG0001907	1	1	1	2	1	1	1	1	1	10
OG0001908	1	1	1	1	1	1	1	1	2	10
OG0001909	1	1	1	1	3	1	0	1	1	10
OG0001910	1	1	1	2	1	1	1	1	1	10
OG0001911	1	1	1	2	1	1	1	1	1	10
OG0001912	1	1	1	2	1	3	0	1	0	10
OG0001913	1	1	2	2	1	1	0	1	1	10
OG0001914	1	1	0	5	1	1	0	1	0	10
OG0001915	1	1	1	1	1	1	2	1	1	10
OG0001916	1	1	1	2	1	1	1	1	1	10
OG0001917	1	1	1	1	1	2	1	1	1	10
OG0001918	1	1	1	2	1	1	1	1	1	10
OG0001919	1	1	0	4	1	2	1	0	0	10
OG0001920	1	1	1	1	1	1	2	1	1	10
OG0001921	1	1	2	1	1	1	1	1	1	10
OG0001922	1	1	1	2	1	1	1	1	1	10
OG0001923	1	1	1	2	1	1	1	1	1	10
OG0001924	1	1	1	2	1	1	1	1	1	10
OG0001925	1	1	1	2	1	1	1	1	1	10
OG0001926	1	1	1	2	1	1	1	1	1	10
OG0001927	1	1	1	2	1	1	1	1	1	10
OG0001928	1	1	1	2	1	1	1	1	1	10
OG0001929	1	1	0	7	0	1	0	0	0	10
OG0001930	1	1	1	1	1	1	2	1	1	10
OG0001931	1	1	1	1	1	1	2	1	1	10
